timestamp,label,probability,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,urg_flag_number
2025-05-18T06:14:24.266240,1,0.9997765421867371,0.08115720748901367,0,17,0.08115720748901367,1232.1764522705773,1232.1764522705773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6000,60,60,60.0,0.0,6000,0.0008197697726162997,100,10.0,0.0,0,0.0,38.5,0
2025-05-18T06:14:24.347322,1,0.9997767806053162,0.09064793586730957,0,17,0.09064793586730957,1103.1690798385082,1103.1690798385082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6000,60,60,60.0,0.0,6000,0.0009156357158314098,100,10.0,0.0,0,0.0,38.5,0
2025-05-18T06:14:24.429822,1,0.9997764229774475,0.07744407653808594,0,17,0.07744407653808594,1291.2543408122554,1291.2543408122554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6000,60,60,60.0,0.0,6000,0.0007822633993746054,100,10.0,0.0,0,0.0,38.5,0
2025-05-18T06:14:24.513128,1,0.9997765421867371,0.08340883255004883,0,17,0.08340883255004883,1198.9137953704815,1198.9137953704815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6000,60,60,60.0,0.0,6000,0.0008425134601015034,100,10.0,0.0,0,0.0,38.5,0
2025-05-18T06:14:24.607213,1,0.9997764229774475,0.08043980598449707,0,17,0.08043980598449707,1243.1656040949765,1243.1656040949765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6000,60,60,60.0,0.0,6000,0.0008125232927726977,100,10.0,0.0,0,0.0,38.5,0
2025-05-18T06:14:24.693728,1,0.9997765421867371,0.08219385147094727,0,17,0.08219385147094727,1216.636016081405,1216.636016081405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6000,60,60,60.0,0.0,6000,0.0008302409239489623,100,10.0,0.0,0,0.0,38.5,0
2025-05-18T06:14:24.778549,1,0.9997768998146057,0.09486055374145508,0,17,0.09486055374145508,1054.1789611786646,1054.1789611786646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6000,60,60,60.0,0.0,6000,0.0009581874115298493,100,10.0,0.0,0,0.0,38.5,0
2025-05-18T06:14:24.860357,1,0.9997766613960266,0.08550453186035156,0,17,0.08550453186035156,1169.5286533270873,1169.5286533270873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6000,60,60,60.0,0.0,6000,0.0008636821400035511,100,10.0,0.0,0,0.0,38.5,0
2025-05-18T06:14:24.938796,1,0.9997765421867371,0.08464908599853516,0,17,0.08464908599853516,1181.3476639515102,1181.3476639515102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6000,60,60,60.0,0.0,6000,0.0008550412727124764,100,10.0,0.0,0,0.0,38.5,0
2025-05-18T06:14:25.019272,1,0.9997765421867371,0.08195996284484863,0,17,0.08195996284484863,1220.1079225633791,1220.1079225633791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6000,60,60,60.0,0.0,6000,0.0008278784125742286,100,10.0,0.0,0,0.0,38.5,0
